x_vc,y_vc,x_cs,y_cs,diff_x,diff_y
0.342704,1.14669,0.0999926,3.2573,0.242712,-2.11061
0.342704,1.14669,0.100425,3.25683,0.24228,-2.11014
0.342704,1.14669,0.0980841,3.25792,0.24462,-2.11123
0.342704,1.14669,0.0983353,3.26156,0.244369,-2.11487
0.342704,1.14669,0.0965733,3.25634,0.246131,-2.10965
0.342704,1.14669,0.0960986,3.25285,0.246606,-2.10616
0.342704,1.14669,0.101541,3.25575,0.241164,-2.10906
0.342704,1.14669,0.0991276,3.2591,0.243577,-2.11241
0.342704,1.14669,0.100948,3.25527,0.241756,-2.10858
0.342704,1.14669,0.101178,3.2635,0.241527,-2.11682
0.342704,1.14669,0.0980241,3.26089,0.24468,-2.1142
0.342704,1.14669,0.0977998,3.26275,0.244905,-2.11606
0.342704,1.14669,0.102524,3.2402,0.24018,-2.09351
0.342704,1.14669,0.0989046,3.25292,0.2438,-2.10623
0.342704,1.14669,0.0976516,3.26171,0.245053,-2.11502
0.342704,1.14669,0.100777,3.26571,0.241928,-2.11902
0.342704,1.14669,0.101524,3.25909,0.24118,-2.1124
0.342704,1.14669,0.100717,3.26102,0.241988,-2.11433
0.342704,1.14669,0.10113,3.25608,0.241574,-2.10939
0.342704,1.14669,0.098259,3.25981,0.244445,-2.11312
0.342704,1.14669,0.0995404,3.2605,0.243164,-2.11382
0.342704,1.14669,0.0978263,3.25217,0.244878,-2.10548
0.342704,1.14669,0.0981479,3.25194,0.244557,-2.10525
0.342704,1.14669,0.0986725,3.26511,0.244032,-2.11842
0.342704,1.14669,0.0951859,3.25967,0.247519,-2.11298
0.342704,1.14669,0.0978753,3.25832,0.244829,-2.11163
0.342704,1.14669,0.0973291,3.26147,0.245375,-2.11478
0.342704,1.14669,0.100499,3.25391,0.242205,-2.10722
0.342704,1.14669,0.0987507,3.2602,0.243954,-2.11351
0.342704,1.14669,0.0981304,3.25994,0.244574,-2.11325
0.342704,1.14669,0.0973765,3.25367,0.245328,-2.10698
0.342704,1.14669,0.0978684,3.26615,0.244836,-2.11946
0.527222,1.55271,0.097487,3.25529,0.429735,-1.70258
0.472015,1.51733,0.0985042,3.27498,0.373511,-1.75765
0.448837,1.54883,0.0980902,3.25409,0.350747,-1.70526
0.435423,1.59849,0.0987798,3.25945,0.336643,-1.66097
0.438036,1.62791,0.100517,3.26059,0.33752,-1.63269
0.439206,1.62802,0.0984013,3.26555,0.340804,-1.63753
0.439206,1.62802,0.102271,3.26356,0.336934,-1.63554
0.455922,1.64703,0.0977647,3.26222,0.358157,-1.61519
0.461885,1.66411,0.0988929,3.25671,0.362992,-1.5926
0.470745,1.67678,0.0982987,3.2637,0.372446,-1.58692
0.478142,1.65712,0.101889,3.25874,0.376253,-1.60162
0.480606,1.67381,0.0982,3.27137,0.382406,-1.59755
0.483079,1.65915,0.0967762,3.25911,0.386303,-1.59996
0.482478,1.64574,0.098865,3.2626,0.383613,-1.61685
0.481131,1.65491,0.0989982,3.25775,0.382133,-1.60285
0.481523,1.6639,0.100023,3.26085,0.3815,-1.59694
0.479694,1.67723,0.0992207,3.26716,0.380473,-1.58992
0.473362,1.67753,0.0980155,3.2577,0.375346,-1.58017
0.467785,1.67048,0.0993297,3.26074,0.368455,-1.59026
0.458783,1.67561,0.0974482,3.26644,0.361335,-1.59083
0.453432,1.66784,0.0977874,3.26341,0.355644,-1.59557
0.436977,1.65553,0.100544,3.25958,0.336434,-1.60406
0.426569,1.65486,0.100063,3.26414,0.326506,-1.60928
0.407779,1.6538,0.0996349,3.2576,0.308144,-1.6038
0.38414,1.65287,0.0985406,3.26613,0.2856,-1.61326
0.357164,1.67075,0.0955252,3.26406,0.261638,-1.59331
0.330304,1.70851,0.0967374,3.25517,0.233567,-1.54666
0.294422,1.76635,0.0973975,3.25779,0.197025,-1.49145
0.26568,1.77069,0.0986495,3.25792,0.16703,-1.48723
0.242574,1.7662,0.0985796,3.26644,0.143994,-1.50023
0.223428,1.77806,0.0989405,3.2629,0.124487,-1.48484
0.223428,1.77806,0.0989405,3.2629,0.124487,-1.48484
0.204864,1.77651,0.0989405,3.2629,0.105923,-1.48639
0.204864,1.77651,0.0989405,3.2629,0.105923,-1.48639
0.184096,1.79368,0.100654,3.25493,0.0834423,-1.46125
0.184096,1.79368,0.100654,3.25493,0.0834423,-1.46125
0.184096,1.79368,0.100654,3.25493,0.0834423,-1.46125
0.136863,1.80646,0.100654,3.25493,0.0362087,-1.44847
0.126457,1.80284,0.100654,3.25493,0.0258034,-1.45209
0.0986257,1.79748,0.100654,3.25493,-0.00202841,-1.45745
0.077141,1.79536,0.100654,3.25493,-0.0235131,-1.45957
0.0672781,1.78256,0.0995038,3.19065,-0.0322257,-1.40809
0.0422886,1.80178,0.0964908,3.26077,-0.0542022,-1.45899
0.0157252,1.7945,0.100335,3.26039,-0.0846097,-1.46589
0.0157252,1.7945,0.0953075,3.25879,-0.0795823,-1.46429
0.0157252,1.7945,0.0979129,3.25946,-0.0821877,-1.46496
0.0157252,1.7945,0.0987177,3.2672,-0.0829926,-1.47269
-0.0871768,1.75847,0.0969798,3.25519,-0.184157,-1.49672
-0.109244,1.74012,0.0978744,3.26736,-0.207119,-1.52724
-0.12498,1.73819,0.0991877,3.26585,-0.224168,-1.52766
-0.161469,1.73866,0.0994356,3.24563,-0.260904,-1.50697
-0.169859,1.68854,0.0994685,3.25688,-0.269328,-1.56834
-0.187526,1.67159,0.099671,3.2531,-0.287197,-1.58151
-0.22566,1.67822,0.0972968,3.26208,-0.322956,-1.58387
-0.262187,1.65624,0.0951498,3.26062,-0.357337,-1.60439
-0.285223,1.63245,0.0996852,3.2582,-0.384909,-1.62575
-0.305051,1.63436,0.100174,3.26166,-0.405225,-1.62729
-0.32204,1.62914,0.0993268,3.24867,-0.421367,-1.61952
-0.361025,1.60821,0.0984144,3.2606,-0.45944,-1.65239
-0.398269,1.59591,0.0998848,3.2594,-0.498154,-1.66349
-0.409681,1.59269,0.0959745,3.26329,-0.505656,-1.67059
-0.463461,1.57693,0.100701,3.25105,-0.564162,-1.67412
-0.511862,1.58026,0.0985414,3.26466,-0.610404,-1.68441
-0.550784,1.5874,0.0982978,3.2605,-0.649082,-1.6731
-0.587295,1.59398,0.0975779,3.26521,-0.684873,-1.67122
-0.619244,1.5775,0.100644,3.26135,-0.719888,-1.68386
-0.677558,1.60973,0.0991416,3.26175,-0.776699,-1.65202
-0.724721,1.60719,0.100786,3.25729,-0.825507,-1.6501
-0.743008,1.63371,0.0998715,3.25666,-0.84288,-1.62295
-0.796227,1.62928,0.0971105,3.2904,-0.893337,-1.66112
-0.831354,1.60906,0.0968821,3.29569,-0.928236,-1.68663
-0.877775,1.6271,0.0968821,3.29569,-0.974657,-1.66859
-0.908914,1.63914,0.0968821,3.29569,-1.0058,-1.65655
-0.985656,1.82468,0.10044,3.26915,-1.0861,-1.44447
-0.967042,1.65968,0.0978493,3.25885,-1.06489,-1.59917
-0.967042,1.65968,0.0966577,3.25133,-1.0637,-1.59164
-0.967042,1.65968,0.0995773,3.26155,-1.06662,-1.60187
-1.06565,1.69146,0.101152,3.24968,-1.16681,-1.55822
-1.11331,1.76751,0.0987266,3.26291,-1.21204,-1.4954
-1.11331,1.76751,0.0984112,3.26314,-1.21172,-1.49563
-1.11331,1.76751,0.0990944,3.24717,-1.21241,-1.47965
-1.11331,1.76751,0.097676,3.25618,-1.21099,-1.48867
-1.11331,1.76751,0.0996177,3.25333,-1.21293,-1.48581
-1.11331,1.76751,0.10136,3.26534,-1.21467,-1.49783
-1.11331,1.76751,0.0986692,3.25013,-1.21198,-1.48261
-1.11331,1.76751,0.100135,3.25322,-1.21345,-1.48571
-1.11331,1.76751,0.102186,3.24509,-1.2155,-1.47758
-1.11331,1.76751,0.0989245,3.24938,-1.21224,-1.48187
-1.11331,1.76751,0.100904,3.2519,-1.21422,-1.48439
-1.11331,1.76751,0.097319,3.25393,-1.21063,-1.48642
-1.11331,1.76751,0.100396,3.2516,-1.21371,-1.48409
-1.11331,1.76751,0.100732,3.24037,-1.21405,-1.47286
-1.11331,1.76751,0.0985508,3.25923,-1.21186,-1.49172
-1.11331,1.76751,0.0981049,3.2408,-1.21142,-1.47329
-1.11331,1.76751,0.100242,3.23941,-1.21356,-1.4719
-1.11331,1.76751,0.101385,3.24412,-1.2147,-1.4766
-1.11331,1.76751,0.101025,3.24556,-1.21434,-1.47805
-1.11331,1.76751,0.0996539,3.23916,-1.21297,-1.47165
-1.11331,1.76751,0.101653,3.24292,-1.21497,-1.4754
